signature	gene	BetweennessCentrality	PPI_cat	rank_by_BC	PCGC_AllCurated
HiG_1	Hspa8	5202	HiG	5	FALSE
HiG_1	Ncl	7563	HiG	2	FALSE
HiG_1	Aldh1a2	5698	HiG	3	FALSE
HiG_1	Npm1	5210	HiG	4	FALSE
HiG_1	Apoe	8396	HiG	1	FALSE
HiG_2	Acta2	21943	HiG	1	TRUE
HiG_2	Npm1	8700	HiG	3	FALSE
HiG_2	Actb	8651	HiG	4	FALSE
HiG_2	Tpm1	8453	HiG	5	FALSE
HiG_2	Gapdh	15441	HiG	2	FALSE
HiG_3	Wnt2	7061	HiG	5	FALSE
HiG_3	Hspa8	14858	HiG	1	FALSE
HiG_3	Hspa5	9343	HiG	3	FALSE
HiG_3	Acta2	9565	HiG	2	TRUE
HiG_3	Tuba1a	7596	HiG	4	FALSE
HiG_4	Hspa8	6542	HiG	2	FALSE
HiG_4	Pou5f1	5967	HiG	3	FALSE
HiG_4	Hspd1	4292	HiG	5	FALSE
HiG_4	Mdk	5676	HiG	4	FALSE
HiG_4	Npm1	7058	HiG	1	FALSE
HiG_5	Hspa8	4828	HiG	4	FALSE
HiG_5	Pou5f1	10804	HiG	2	FALSE
HiG_5	Hspd1	4820	HiG	5	FALSE
HiG_5	Mdk	5808	HiG	3	FALSE
HiG_5	Npm1	12113	HiG	1	FALSE
HiG_6	Hspa8	15969	HiG	4	FALSE
HiG_6	Hspa5	20872	HiG	1	FALSE
HiG_6	Anxa2	10394	HiG	5	FALSE
HiG_6	Actg1	20247	HiG	2	FALSE
HiG_6	Actb	19561	HiG	3	FALSE
HiG_9	Hspa8	5925	HiG	4	FALSE
HiG_9	Hspa5	7819	HiG	2	FALSE
HiG_9	Npm1	6139	HiG	3	FALSE
HiG_9	Hsp90aa1	5895	HiG	5	FALSE
HiG_9	Trp53	7885	HiG	1	FALSE
HiG_10	Vim	11184	HiG	3	FALSE
HiG_10	Pkm	11273	HiG	2	FALSE
HiG_10	Fn1	11298	HiG	1	FALSE
HiG_10	Npm1	9906	HiG	5	FALSE
HiG_10	Trp53	10212	HiG	4	FALSE
HiG_12	Hspa8	8983	HiG	1	FALSE
HiG_12	Krt8	4683	HiG	5	FALSE
HiG_12	Hspa5	7552	HiG	3	FALSE
HiG_12	Hsp90aa1	5640	HiG	4	FALSE
HiG_12	Trp53	8414	HiG	2	FALSE
HiG_14	Hspa8	10514	HiG	1	FALSE
HiG_14	Hsp90ab1	9789	HiG	2	FALSE
HiG_14	Npm1	6500	HiG	4	FALSE
HiG_14	Hsp90aa1	8372	HiG	3	FALSE
HiG_14	Eif4a1	5563	HiG	5	FALSE
HiG_17	Acta2	11396	HiG	2	TRUE
HiG_17	Myl2	9982	HiG	4	FALSE
HiG_17	Ttn	10553	HiG	3	FALSE
HiG_17	Gapdh	44207	HiG	1	FALSE
HiG_17	Tnnt2	7315	HiG	5	FALSE
HiG_18	Hspa8	11677	HiG	4	FALSE
HiG_18	Hspa5	17495	HiG	1	FALSE
HiG_18	Acta2	8432	HiG	5	TRUE
HiG_18	Actg1	16167	HiG	2	FALSE
HiG_18	Actb	13262	HiG	3	FALSE
HiG_19	Akt1	20173	HiG	1	FALSE
HiG_19	Acta2	18035	HiG	2	TRUE
HiG_19	Fn1	10094	HiG	4	FALSE
HiG_19	Actg1	9473	HiG	5	FALSE
HiG_19	H3f3b	10606	HiG	3	FALSE
HiG_7	Hspa8	4687	HiG	3	FALSE
HiG_7	Mrpl12	3796	HiG	5	FALSE
HiG_7	Mrto4	4764	HiG	2	FALSE
HiG_7	Prdx2	7119	HiG	1	FALSE
HiG_7	Apoe	4062	HiG	4	FALSE
HiG_11	Hspa5	8895	HiG	4	FALSE
HiG_11	Anxa5	12198	HiG	3	FALSE
HiG_11	Acta2	20880	HiG	1	TRUE
HiG_11	Actg1	12928	HiG	2	FALSE
HiG_11	H3f3b	8167	HiG	5	FALSE
HiG_15	Cd34	7640	HiG	2	FALSE
HiG_15	Npm1	5853	HiG	5	FALSE
HiG_15	Hsp90aa1	7088	HiG	3	FALSE
HiG_15	Actb	13922	HiG	1	FALSE
HiG_15	Trp53	6395	HiG	4	FALSE
HiG_16	Hspa8	11828	HiG	5	FALSE
HiG_16	Hspa5	14015	HiG	4	FALSE
HiG_16	Anxa2	16987	HiG	2	FALSE
HiG_16	Acta2	14197	HiG	3	TRUE
HiG_16	Actg1	17241	HiG	1	FALSE
HiG_13	Hspa8	8819	HiG	3	FALSE
HiG_13	Hspa5	10680	HiG	2	FALSE
HiG_13	Cldn5	6584	HiG	4	FALSE
HiG_13	Fn1	11626	HiG	1	FALSE
HiG_13	Hsp90aa1	6033	HiG	5	FALSE
HiG_8	Nkx2-5	5914	HiG	3	TRUE
HiG_8	Hspa8	5387	HiG	5	FALSE
HiG_8	Npm1	7751	HiG	2	FALSE
HiG_8	Cdkn1c	7894	HiG	1	TRUE
HiG_8	Apoe	5665	HiG	4	FALSE
HiGCTS_7	F10	7	HiGCTS	3	FALSE
HiGCTS_7	Blvrb	5	HiGCTS	4	FALSE
HiGCTS_7	Klf1	1	HiGCTS	5	FALSE
HiGCTS_7	Hbb-bh1	12	HiGCTS	1	FALSE
HiGCTS_7	Hba-a1	9	HiGCTS	2	FALSE
HiGCTS_11	Maged2	24	HiGCTS	3	FALSE
HiGCTS_11	Pcolce	37	HiGCTS	1	FALSE
HiGCTS_11	Asb4	19	HiGCTS	4	FALSE
HiGCTS_11	Efemp2	28	HiGCTS	2	FALSE
HiGCTS_11	Twist2	18	HiGCTS	5	FALSE
HiGCTS_15	Cd34	129	HiGCTS	1	FALSE
HiGCTS_15	Gng11	116	HiGCTS	2	FALSE
HiGCTS_15	Tie1	51	HiGCTS	5	FALSE
HiGCTS_15	Cldn5	114	HiGCTS	3	FALSE
HiGCTS_15	Gpsm3	62	HiGCTS	4	FALSE
HiGCTS_16	Col1a1	4	HiGCTS	1.5	FALSE
HiGCTS_16	Col5a2	4	HiGCTS	1.5	FALSE
HiGCTS_16.1	Wisp1	71	HiGCTS	2	FALSE
HiGCTS_16.1	Bmp2	38	HiGCTS	4.5	TRUE
HiGCTS_16.1	Gas6	68	HiGCTS	3	FALSE
HiGCTS_16.1	Sdpr	38	HiGCTS	4.5	FALSE
HiGCTS_16.1	Postn	138	HiGCTS	1	FALSE
HiGCTS_8	Fgf8	5	HiGCTS	2.5	FALSE
HiGCTS_8	Igfbpl1	5	HiGCTS	2.5	FALSE
HiGCTS_8	Isl1	8	HiGCTS	1	TRUE
CTS_7	Spi1	130	CTS	1	FALSE
CTS_7	Gata2	65	CTS	3	FALSE
CTS_7	Was	40	CTS	4	FALSE
CTS_7	Klf1	66	CTS	2	FALSE
CTS_7	Samsn1	36	CTS	5	FALSE
CTS_11	Maged2	88	CTS	5	FALSE
CTS_11	Pcolce	213	CTS	1	FALSE
CTS_11	Efemp2	143	CTS	2	FALSE
CTS_11	Fbn1	110	CTS	3	TRUE
CTS_11	Fgfr2	96	CTS	4	TRUE
CTS_15	Cd34	797	CTS	1	FALSE
CTS_15	Gng11	431	CTS	4	FALSE
CTS_15	Gata1	553	CTS	2	FALSE
CTS_15	Cldn5	545	CTS	3	FALSE
CTS_15	Gmfg	370	CTS	5	FALSE
CTS_16	Col1a1	116	CTS	4	FALSE
CTS_16	Cd44	254	CTS	1	FALSE
CTS_16	Lama4	220	CTS	2	FALSE
CTS_16	Col3a1	156	CTS	3	FALSE
CTS_16	Plagl1	84	CTS	5	TRUE
CTS_16.1	Rem1	967	CTS	1	FALSE
CTS_16.1	Runx1	345	CTS	4	FALSE
CTS_16.1	Smoc2	298	CTS	5	FALSE
CTS_16.1	Ezr	461	CTS	2	FALSE
CTS_16.1	Postn	349	CTS	3	FALSE
CTS_13	Icam2	214	CTS	3	FALSE
CTS_13	Cdh5	267	CTS	2	FALSE
CTS_13	Rhoj	124	CTS	4	FALSE
CTS_13	Pecam1	508	CTS	1	FALSE
CTS_13	Etv2	88	CTS	5	FALSE
CTS_8	Epha2	232	CTS	3	FALSE
CTS_8	Fgf8	845	CTS	1	FALSE
CTS_8	Isl1	171	CTS	5	TRUE
CTS_8	Osr1	213	CTS	4	TRUE
CTS_8	Fgfr2	254	CTS	2	TRUE
